,Unnamed: 0,ICAO,Year,Departures,Arrivals,Longitude,Latitude,Name
289,289,LDZL,2020,512,,15.84860039,45.76689911,Lučko Airport
290,290,LEAB,2020,248,,-1.86352,38.948502,Albacete Airport / Los Llanos Air Base
291,291,LEBG,2020,355,,-3.62076,42.357601,Burgos Airport
292,292,LEDA,2020,1290,,0.535023,41.728185,Lleida-Alguaire Airport
293,293,LEGT,2020,492,,-3.723829985,40.29410172,Getafe Air Base
294,294,LELL,2020,682,,2.10508,41.520901,Sabadell Airfield
295,295,LEMO,2020,2453,,-5.615940094,37.17490005,Moron Air Base
296,296,LERS,2020,1348,,1.16717,41.1474,Reus Airport
297,297,LESA,2020,1322,,-5.50199,40.952099,Salamanca Airport
298,298,LESB,2020,246,,2.70278,39.5989,Son Bonet Airfield
299,299,LETO,2020,543,,-3.456808,40.487875,Madrid–Torrejón Airport / Torrejón Air Base
300,300,LFAQ,2020,443,,2.697659969,49.9715004,Albert-Bray Airport
301,301,LFBA,2020,1136,,0.590556026,44.17470169,Agen-La Garenne Airport
302,302,LFBH,2020,1354,,-1.195279956,46.17919922,La Rochelle-Île de Ré Airport
303,303,LFGJ,2020,1031,,5.435063,47.042686,Dole-Tavaux Airport
304,304,LFJR,2020,556,,-0.312222,47.560299,Angers-Loire Airport
305,305,LFLX,2020,1208,,1.721111,46.860278,"Châteauroux-Déols ""Marcel Dassault"" Airport"
306,306,LFMH,2020,663,,4.296390057,45.54059982,Saint-Étienne-Bouthéon Airport
307,307,LFMI,2020,1442,,4.92384,43.522701,Istres Le Tubé Air Base
308,308,LFMV,2020,2754,,4.901830196,43.90729904,Avignon-Caumont Airport
309,309,LFRM,2020,438,,0.201666996,47.94860077,Le Mans-Arnage Airport
310,310,LFSL,2020,986,,1.485556,45.039722,Brive-Souillac
311,311,LGPZ,2020,1227,,20.76530075,38.92549896,Aktion National Airport
312,312,LJMB,2020,763,,15.6861,46.4799,Maribor Airport
313,313,LJPZ,2020,823,,13.615,45.4734,Portorož Airport
314,314,LKMT,2020,2312,,18.11109924,49.69630051,Ostrava Leos Janáček Airport
315,315,EIWF,2020,242,,-7.086959839,52.18719864,Waterford Airport
316,316,EIWT,2020,85,,-6.48611,53.3522,Weston Airfield
317,317,LFRO,2020,255,,-3.47166,48.754398,Lannion-Côte de Granit Airport
318,318,LGSK,2020,880,,23.50370026,39.17710114,Skiathos Island National Airport
319,319,EHLE,2020,1130,,5.52722,52.4603,Lelystad Airport
320,320,ENMS,2020,1375,,13.2149,65.783997,"Mosjøen Airport, Kjærstad"
321,321,LEIZ,2020,50,,-3.36433,38.5131,La Perdiz - Torre De Juan Abad Airfield
322,322,LERJ,2020,122,,,,
323,323,LERE,2020,130,,-1.03444,39.474701,Aeródromo Requena El Rebollar
324,324,LERL,2020,201,,-3.969944,38.856479,Ciudad Real International Airport
325,325,EISG,2020,19,,-8.599209785,54.28020096,Sligo Airport
326,326,EVJA,2020,3,,,,
327,327,LELC,2020,52,,-0.812389,37.775002,San Javier Airport
328,328,EVVA,2020,2,,21.5442009,57.35779953,Ventspils International Airport
329,329,EPRA,2020,1,,21.213301,51.389198,Radom Airport
